mpid,formula,canonical_formula,A,B1,B2,X,pred_bandgap_eV,actual_bandgap_eV,pred_hull_eV_atom,actual_hull_eV_atom,pred_stable_probability,actual_stable,screening_score,passes_filter,joint_actual_hit
mp-1182477,AsN(OF3)2,O2NAsF6,O,N,As,F,2.149352025790272,2.7442,0.16278053633278666,0.0,0.030779068304405993,1,0.22571737117588453,False,0
mp-611316,AsN(OF3)2,O2NAsF6,O,N,As,F,2.165748244196265,2.6821,0.15712870371258306,0.0345745860000006,0.027348528921567725,1,0.22261638861352628,False,0
mp-1183269,AsN(OF3)2,O2NAsF6,O,N,As,F,2.163154674947434,2.7607,0.16703297050286836,0.0112635080000007,0.027751703694528045,1,0.22093913271814486,False,0
mp-1111213,K2RbGaBr6,K2GaRbBr6,K,Ga,Rb,Br,2.135167269633333,2.325429476210152,0.1406102401413526,0.1547900380000002,3.587704786982242e-05,0,0.22083938700419123,False,0
mp-1111323,Na2AgMoF6,Na2MoAgF6,Na,Mo,Ag,F,2.06410774012866,1.7775,0.19980795414929545,0.148651267124996,8.926686869126892e-05,0,0.22021047522549878,False,0
mp-1112057,CsK2AlI6,K2AlCsI6,K,Al,Cs,I,2.1272782176852756,2.1424755591878006,0.1576799861531331,0.1470867017499988,2.4063639118981777e-05,0,0.21699516110488543,False,0
mp-1112181,K2InSbF6,K2InSbF6,K,In,Sb,F,2.15174211513299,2.114374006457001,0.1635341537477353,0.1809023240833296,4.5957835670851495e-05,0,0.21128888001956328,False,0
mp-1113212,Cs2TaAuF6,Cs2TaAuF6,Cs,Ta,Au,F,1.198358496448629,1.1619002166404595,0.2503302866395648,0.0458897040400012,6.02792294294702e-05,1,0.21057821456794035,False,1
mp-1112245,K2ScCuF6,K2ScCuF6,K,Sc,Cu,F,0.7522615777079154,1.2408,0.07233203546942457,0.0968541758749959,0.039479587309247145,0,0.2105023327516348,False,0
mp-1111042,Na2TmCuCl6,Na2CuTmCl6,Na,Cu,Tm,Cl,2.1942932556520454,1.745541457086471,0.1545143104877939,0.1512516585000014,8.119194082362753e-06,0,0.2057708775946439,False,0
mp-1111088,Na2AlAuF6,Na2AlAuF6,Na,Al,Au,F,1.1620077151993606,0.9051,0.22837973202779274,0.2806851863333337,1.0793081846041427e-05,0,0.20542626489424234,False,0
mp-1110917,K2AgMoBr6,K2MoAgBr6,K,Mo,Ag,Br,0.671916996297671,0.6656376522374959,0.06994513798608976,0.0685645004999977,0.041201514818907874,0,0.19941708094540372,False,0
mp-1112422,K2NdAuCl6,K2NdAuCl6,K,Nd,Au,Cl,2.248306419518558,2.2347133764692595,0.1565651934460788,0.1711885472916687,1.4659776379098084e-05,0,0.19496988301576648,False,0
mp-1112021,K2InGaI6,K2GaInI6,K,Ga,In,I,0.8965875975727261,0.8532,0.09719744433347523,0.1032820627499973,0.00019559375083555644,0,0.1939720574121846,False,0
mp-1111569,K2TlBiF6,K2TlBiF6,K,Tl,Bi,F,3.1581712672728637,3.181654447986813,0.1356155637356439,0.1064161739999987,0.3014342162512962,0,0.18866294695152197,False,0
mp-1111012,KNa2IrF6,Na2KIrF6,Na,K,Ir,F,2.2388826057568325,1.4972,0.22028203519124429,0.1755837103333384,7.3470602768077796e-06,0,0.1873484532564823,False,0
